Date,Open,High,Low,Close,Volume
1973-05-14,925.3,925.3,906.3,909.7,3049624
1973-05-15,909.7,920.8,894.5,917.4,4179699
1973-05-16,917.4,927.8,907.7,917.1,3112782
1973-05-17,917.1,919.9,907.6,911.7,2945865
1973-05-18,908.8,908.8,889,895.2,3852632
1973-05-21,894.8,894.8,875.5,886.5,4666917
1973-05-22,886.5,905.9,884.9,892.5,4064662
1973-05-23,892.5,904.8,884.2,895,3372180
1973-05-24,895,926.5,890.4,924.4,3904511
1973-05-25,924.4,938.8,915.6,930.8,4346617
1973-05-29,930.8,934.1,921.4,925.6,2548872
1973-05-30,924.4,924.4,906,908.9,2645865
1973-05-31,908.9,912,895.6,901.4,2749624
1973-06-01,901.4,902.3,887.3,894,2348120
1973-06-04,894,894.4,880.7,885.9,2533083
1973-06-05,885.9,905.6,883.4,900.8,3175940
1973-06-06,900.8,908.9,891.7,898.2,2950376
1973-06-07,898.2,913.7,896.4,909.6,3193985
1973-06-08,909.6,926.9,908.2,920,3169173
1973-06-11,920,924.7,911.1,915.1,2242105
1973-06-12,915.1,930,912.9,927,3121805
1973-06-13,927,935.6,912.5,915.5,3541353
1973-06-14,915.5,922.5,899.6,902.9,2979699
1973-06-15,899.7,899.7,882.6,888.6,2700000
1973-06-18,887.3,887.3,869.4,875.1,2584962
1973-06-19,875.1,889.5,868.1,881.6,2925564
1973-06-20,881.6,890.7,876.3,884.7,2390977
1973-06-21,884.7,887.5,871.8,873.7,2623308
1973-06-22,875.2,897.6,875.2,879.8,4166165
1973-06-25,879.8,880.7,865.7,869.1,2632331
1973-06-26,869.1,881.9,864.5,879.4,3166917
1973-06-27,879.4,888.1,872.4,884.6,2855639
1973-06-28,884.6,897.9,880.9,894.6,2878195
1973-06-29,894.6,900.6,886.6,891.7,2429323
1973-07-02,890.2,890.2,876.7,880.6,2217293
1973-07-03,880.6,882.5,868.8,874.2,2381955
1973-07-05,874.2,879.7,867.1,874.3,2368421
1973-07-06,874.3,878.1,865.8,870.1,2251128
1973-07-09,870.1,879.7,863.9,877.3,2607519
1973-07-10,879.1,894.6,879.1,888.3,3403759
1973-07-11,889.9,911.8,889.9,908.2,4224812
1973-07-12,908.2,910.8,895.4,901.9,3699248
1973-07-13,901.9,902.8,883.1,886,2569173
1973-07-16,886,900.4,881.3,897.6,2914286
1973-07-17,897.6,911.8,892.8,898,4229323
1973-07-18,898,911.2,889.9,905.4,3839098
1973-07-19,905.4,916.5,893.7,906.7,4206767
1973-07-20,906.7,918.1,902.5,910.9,3676692
1973-07-23,910.9,921.9,907.4,913.2,3514286
1973-07-24,913.2,922.2,903.7,918.7,3672180
1973-07-25,918.7,942.6,917.2,933,5012030
1973-07-26,933,944.1,924.7,934.5,4152632
1973-07-27,934.5,942.3,925.7,936.7,2912030
1973-07-30,936.7,942.4,926.3,933.8,2519549
1973-07-31,933.8,941.2,923.4,926.4,3051880
1973-08-01,924.4,924.4,907.3,912.2,3051880
1973-08-02,912.2,917.4,899.5,910.1,3627068
1973-08-03,910.1,913.9,900.4,908.9,2242105
1973-08-06,908.9,918.5,901,912.8,2778947
1973-08-07,912.8,920.4,905.3,912,3047368
1973-08-08,912,913.2,897.4,902,2806015
1973-08-09,902,910.6,894,901.5,2905263
1973-08-10,901.5,903.5,887.1,892.4,2451880
1973-08-13,892.4,892.9,878.1,883.2,2555639
1973-08-14,883.2,887.4,867.7,870.7,2648120
1973-08-15,870.7,879.8,863.7,874.2,2715789
1973-08-16,874.2,886.4,867.6,872.7,2930075
1973-08-17,872.7,877.2,864.7,871.8,2506015
1973-08-20,871.8,875.1,862.7,867.4,2023308
1973-08-21,867.4,870,855.5,857.8,2589474
1973-08-22,857.8,860.6,845.5,851.9,2429323
1973-08-23,853.5,869.8,853.5,864.5,2569173
1973-08-24,864.5,873.1,856.6,863.5,2526316
1973-08-27,863.5,874.3,860,870.7,2196992
1973-08-28,870.7,877.6,865.4,872.1,2663910
1973-08-29,872.1,890.4,870.6,883.4,3539098
1973-08-30,883.4,892.3,877.5,882.5,2729323
1973-08-31,882.5,891,876.5,887.6,2375188
1973-09-04,887.6,900.3,885.7,895.4,3205263
1973-09-05,895.4,903.5,887.9,899.1,3288722
1973-09-06,899.1,908,894,901,3534586
1973-09-07,901,905.7,892.6,898.6,3367669
1973-09-10,898.6,903.5,888.6,891.3,2621053
1973-09-11,891.3,892.5,878.6,885.8,2862406
1973-09-12,885.8,889.8,874.8,881.3,2715789
1973-09-13,881.3,888.1,874.2,880.6,2632331
1973-09-14,880.6,889.2,873.3,886.4,3103759
1973-09-17,886.4,900.3,884.9,893,3406015
1973-09-18,893,900.1,882.4,891.3,3699248
1973-09-19,891.3,915.4,891.3,910.4,5542105
1973-09-20,910.4,925.4,909.5,920.5,5855639
1973-09-21,920.5,934.4,911.7,927.9,5359398
1973-09-24,927.9,940.7,924.4,936.7,4396241
1973-09-25,936.7,947,927.5,940.6,4856391
1973-09-26,940.6,954.6,935.4,949.5,4766165
1973-09-27,949.5,964.6,942.5,953.3,5336842
1973-09-28,953.3,954.9,937.5,947.1,3676692
1973-10-01,947.1,954.1,937.7,948.8,3570677
1973-10-02,948.8,961.5,943.9,956.8,4684962
1973-10-03,956.8,971.8,952.1,964.6,4971429
1973-10-04,964.6,969.3,949.5,955.9,4450376
1973-10-05,955.9,975.9,950.8,971.3,4245113
1973-10-08,971.3,983.2,955.8,977.7,4283459
1973-10-09,977.7,984.7,964.6,974.2,4384962
1973-10-10,974.2,980.3,953.8,960.6,4287970
1973-10-11,960.6,981.2,957.7,976.1,4678195
1973-10-12,976.1,991.8,972,978.6,5127068
1973-10-15,977.8,977.8,960.2,967,3645113
1973-10-16,967,971.6,951.8,967.4,4236090
1973-10-17,967.4,976.7,956.4,962.5,4195489
1973-10-18,962.5,974.3,950.1,959.7,4333083
1973-10-19,959.7,974,954.6,963.7,4033083
1973-10-22,963.7,970.4,951.1,960.6,3223308
1973-10-23,960.6,976.4,944.5,966.5,3886466
1973-10-24,966.5,977.5,960.8,971.9,3572932
1973-10-25,971.9,981.3,957.1,974.5,3514286
1973-10-26,974.5,992.6,972.6,987.1,4015038
1973-10-29,987.1,997.6,980,984.8,4051128
1973-10-30,984.8,985.9,963.7,968.5,3965414
1973-10-31,968.5,973.1,951.3,956.6,4035338
1973-11-01,956.6,963.8,941.8,948.8,3816541
1973-11-02,948.8,951.3,929.1,935.3,3685714
1973-11-05,932.9,932.9,912.6,919.4,3868421
1973-11-06,919.4,933.8,909.7,913.1,3706015
